
here is the system stat while the mongodum script running

Device name	vm-01-c-prod
Processor	AMD EPYC 7763 64-Core Processor                   2.44 GHz
Installed RAM	64.0 GB
Device ID	8A5101F6-84A3-4729-820A-3F8003AADA8D
Product ID	00454-60000-00001-AA965
System type	64-bit operating system, x64-based processor
Pen and touch	No pen or touch input is available for this display

Network utilization

Image	PID	Address	Send (B/sec)	Receive (B/sec)	Total (B/sec)
mongodump.exe	12600	10.4.3.5	374	46,431,963	46,432,337
svchost.exe (termsvcs)	1512	vm000003.internal.cloudapp.net	10,540	366	10,906
WindowsAzureGuestAgent.exe	3944	168.63.129.16	771	1,492	2,263
System	4	57.150.129.134	1,065	415	1,479
Code.exe	13476	13.69.109.131	149	206	355
MsSense.exe	4000	20.15.141.128	193	149	342
NoSQLBooster for MongoDB.exe	4084	20.98.166.110	12	267	280
NoSQLBooster for MongoDB.exe	4084	20.83.25.199	12	262	274
NoSQLBooster for MongoDB.exe	4084	20.40.248.190	12	236	248
NoSQLBooster for MongoDB.exe	4084	20.118.241.131	12	231	244
NoSQLBooster for MongoDB.exe	4084	20.83.63.3	12	231	244
NoSQLBooster for MongoDB.exe	4084	20.106.17.151	12	229	241
NoSQLBooster for MongoDB.exe	4084	172.202.121.22	12	224	237
NoSQLBooster for MongoDB.exe	4084	20.118.217.129	12	224	237
NoSQLBooster for MongoDB.exe	4084	20.83.63.103	12	224	237
Code.exe	13476	20.42.65.91	91	126	217
HealthService.exe	3920	20.44.12.215	19	5	23
svchost.exe (NetworkService -p)	2252	vm-01-c-prod.mwzyuu3i2cbehdibilqc0g3oda.gx.internal.cloudapp.net	0	22	22
svchost.exe (NetworkService -p)	2252	168.63.129.16	7	0	7
WaAppAgent.exe	3956	168.63.129.16	0	3	3
svchost.exe (LocalService)	3840	vm-01-c-prod.mwzyuu3i2cbehdibilqc0g3oda.gx.internal.cloudapp.net	0	1	1
svchost.exe (LocalService)	3840	168.61.215.74	1	0	1



cpu

Image	PID	Description	Status	Threads	CPU	Average CPU
mongodump.exe	12600	mongodump.exe	Running	21	6	5.27
System Interrupts	-	Deferred Procedure Calls and Interrupt Service Routines	Running	-	1	0.58
System	4	NT Kernel & System	Running	375	1	0.43
Code.exe	12256	Visual Studio Code	Running	28	0	0.34
Code.exe	13476	Visual Studio Code	Running	22	0	0.16
SenseNdr.exe	5636	Windows Defender Advanced Threat Protection - Sense NDR module	Running	5	0	0.15
perfmon.exe	7980	Resource and Performance Monitor	Running	17	0	0.14
Taskmgr.exe	13812	Task Manager	Running	14	0	0.12
Code.exe	4856	Visual Studio Code	Running	28	0	0.06
Code.exe	16064	Visual Studio Code	Running	19	0	0.05
NoSQLBooster for MongoDB.exe	5180	NoSQLBooster for MongoDB	Running	21	0	0.04
MsMpEng.exe	4020		Running	62	0	0.02
svchost.exe (termsvcs)	1512	Host Process for Windows Services	Running	80	0	0.02
python.exe	15240	Python	Running	2	0	0.02
dwm.exe	9716	Desktop Window Manager	Running	31	0	0.01
Code.exe	11924	Visual Studio Code	Running	57	0	0.01
NoSQLBooster for MongoDB.exe	4084	NoSQLBooster for MongoDB	Running	13	0	0.01
svchost.exe (LocalServiceNoNetwork -p)	5796	Host Process for Windows Services	Running	23	0	0.01
rdpclip.exe	15080	RDP Clipboard Monitor	Running	9	0	0.00
MsSense.exe	4000		Running	43	0	0.00
Code.exe	14052	Visual Studio Code	Running	20	0	0.00
NoSQLBooster for MongoDB.exe	4468	NoSQLBooster for MongoDB	Running	25	0	0.00
svchost.exe (NetworkService -p)	2252	Host Process for Windows Services	Running	10	0	0.00
Code.exe	4944	Visual Studio Code	Running	27	0	0.00
bash.exe	15224	bash.exe	Running	4	0	0.00
Code.exe	3024	Visual Studio Code	Running	16	0	0.00
explorer.exe	7448	Windows Explorer	Running	38	0	0.00
WindowsAzureGuestAgent.exe	3944	WindowsAzureGuestAgent	Running	27	0	0.00
Code.exe	8660	Visual Studio Code	Running	12	0	0.00
conhost.exe	14604	Console Window Host	Running	5	0	0.00
conhost.exe	16120	Console Window Host	Running	5	0	0.00
Code.exe	4780	Visual Studio Code	Running	19	0	0.00
Code.exe	16072	Visual Studio Code	Running	20	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	1980	Host Process for Windows Services	Running	5	0	0.00
conhost.exe	9372	Console Window Host	Running	5	0	0.00
powershell.exe	10628	Windows PowerShell	Running	10	0	0.00
csrss.exe	968		Running	12	0	0.00
Code.exe	4520	Visual Studio Code	Running	25	0	0.00
Code.exe	4572	Visual Studio Code	Running	20	0	0.00
bash.exe	9532	bash.exe	Running	4	0	0.00
bash.exe	14324	bash.exe	Running	4	0	0.00
